Casino Royale
Dogma
"Dolmetscherin, Die "
Dornroschen
Down in the Valley
Dreamcatcher
Drei Haselnusse fur Aschenbrodel
"Dreimaderlhaus, Das"
"Duchess, The "
Dumbo
E
Eagle Eye
"Eisbar, Der"
"Eisprinzessin, Die"
Elizabeth: The Golden Age
Elizabethtown
Ella - Verflixt & Zauberfaft
E-Mail fur dich 
Emma
"Ende, Das "
"English Patient, The"
Eragon
Evelyn
Exit
"Experiment, Das"
Extreme Rage 
"Fahnlein der sieben Aufrechten, Das"
Fahrenheit 9/11
"Family Stone, The"
Fantastic Four
Fantastic Four: Rise of the Silver Surfer
Far and Away 
Fargo
Fast and the Furious
FernGully 1 & 2
Festen
Fifth Element
Fight Club
"Final Call, The"
Final Cut
Final Destination
Final Destination 2
Final Destination 3
Final Destination 4
Finding Forrester
Finding Nemo
Flags of Our Fathers
Flug 93 
"Fremde Sohn, Der "
French Kiss
Frequency
From Dusk till Dawn
From Hell
Full Metal Jacket
Gattaca
"Geheimnisvolle Schatz von Troja, Der"
"Geisha, The Memoirs of a"
Gestolene Herzen 
Ghetto Gangz
Ghost Rider
Ghost Ship
"Ghostwriter, Der"
"Girl with the Dragon Tattoo, The "
Gladiator
"Golden Compass, The"
Gone Baby Gone
"Good Morning, Vietnam"
"Good Shepherd, The"
Gothika
Green Zone
Grosse Erwartungen 
Grosse Haie - Kleine Fische 
Grounding
Half Light
Hamburger Hill
Hangover
"Happening, The"
Happy Feet
Harry Potter I - Stein der Weisen
Harry Potter II - Kammer des Schreckens
Harry Potter III - Gefangene von Askaban
Harry Potter IV - Feuerkelch
Harry Potter V - Orden des Phonix
Harry Potter VI - Halbblutprinz
Harry Potter VII - Heiligtumer des Todes 
Harry Potter VII - Heiligtumer des Todes 
Hart am Limit 
"Haus am See, Das "
Haven - Staffel 1
Haven - Staffel 2
Head in the Clouds
Hearts in Atlantis
Herr der Gezeiten 
"Hexe und der Zauberer, Die"
Hinter dem Horizont 
"History of Violance, The"
Hitch
Hoch klingt der Radetzkymarsch
"Hochzeits-Crasher, Die "
"Holle Vietnams, Die "
Hope Springs
Hostage
Hotel Rwanda
I am Legend
"I, Robot"
I.Q.
Ice Age
Ice Age: The Meltdown
Identity
"Illusionist, The"
Im Juli
Im Weissen Rossl
Inception
Inglorious Basterds
Inside Job
Inside Man
"Insider, The"
"International, The"
Iron Man
"Island, The"
Italian Job
"Jacket, The"
Jackie Brown
Jagdfieber 
Jarhead
Jeanne d'Arc - Die Frau des Jahrtausends
Johanna von Orleans 
"Junge im gestreiften Pyjama, Der"
Kaltes Blut 
"Kammer, Die "
Kate & Leopold
Keeping the Faith
Keinohrhasen
"Kill Bill, Volume 1"
"Kill Bill, Volume 2"
Killing Fields
King Arthur
Kingdom of Heaven
"Kiss Kiss, Bang Bang"
Knockin' on Heaven's Door
"Konigreich fur ein Lama, Ein"
K-PAX
Krieg der Welten 
"Krieger und die Kaiserin, Der"
"Kuhe sind los, Die"
Kundun
Lady in the Water
"Last King of Scotland, The"
"Last Samurai, The"
Laws of Attraction
"Lazarus Projekt, Das"
"League of Extraordinary Gentlemen, The"
"Legend of 1900, The "
Letters From Iwo Jima
Letters to Juliet 
Liebe auf Umwegen 
Liebe und Eis 
Life of David Gale
Lion King
Lissi und der wilde Kaiser
Lola Rennt
"Longest Day, The"
Lord of the Rings I - The Fellowship
Lord of the Rings II - The Two Towers
Lord of the Rings III - The Return of the King
Lord of War
LOST - Staffel 1
LOST - Staffel 2
LOST - Staffel 3
LOST - Staffel 4
LOST - Staffel 5
LOST - Staffel 6
Luftbrucke - Nur der Himmel war frei
Machtlos 
Madagascar
Madagascar II
Madchenjahre einer Konigin
"Magische Schwert, Das"
Magnolia
Man about Town
Mannerpension
Mannerzirkus 
Mary Poppins
Master and Commander
Matrix
Matrix Reloaded
Matrix Revolutions
"Maulwurf, Der - Abenteuer als Fotograf"
"Maulwurf, Der - Abenteuer als Gartner"
"Maulwurf, Der - Abenteuer im Karneval"
"Maulwurf, Der - Abenteuer mit dem Igel"
"Maulwurf, Der - In der Stadt"
"Maulwurf, Der - Und seine Freunde"
Max Payne
McLeods Tochter: Staffel 1
McLeods Tochter: Staffel 2
McLeods Tochter: Staffel 3
McLeods Tochter: Staffel 4
McLeods Tochter: Staffel 5
McLeods Tochter: Staffel 6
McLeods Tochter: Staffel 7
McLeods Tochter: Staffel 8
Meet the Fockers
Meet the Parents
Mein Name ist Eugen
Mercury Rising
Metro
Miami Vice
Milk
Million Dollar Baby
Mimic
Minority Report
Miss Undercover I
Miss Undercover II
"Missing, The"
Mission to Mars
Mission: Impossible
Mission: Impossible II
Mission: Impossible III
Mit aller Macht 
Mitten ins Herz - Ein Song fur Dich
Mona Lisa Smile
Monster
Monster Inc.
Monty Python and the Holy Grail
Monty Python's Life of Brian
Moonlight and Valentino
Mr. and Mrs. Smith
Munchen
Mulan
My Super Ex-Girlfriend
Mystic River
"Narnia I, The Chronicles of Narnia"
Narnia II - Prinz Kaspian von Narnia
National Treasure I
National Treasure II: Book of Secrets
Natural Born Killers
NBA - Die 100 Besten Spiele der NBA
NBA - Dunks
Neutral
Next
Next Door 
Night at the Museum 
Niko - Ein Rentier hebt ab
No Country for old Men
Notting Hill
Nur mit dir 
Ocean's 11
Ocean's 12
Ocean's 13
On the Line
One Way
Operation Walkure - Stauffenberg Attentat 
Operation: Kingdom
"Others, The"
Oxford Murders
P.S. ? I Love You
P.S. ? Liebe auf Anfang
"Pacific, The"
Pakt der Wolfe 
"Pakt, Der "
"Parfum, Das"
Password Swordfish
Pate I 
Pate II 
Pate III 
Patton
Paycheck
Pearl Harbor
Percy Jackson - Diebe im Olymp
"Perfect Man, The"
Perfect World
"Perfekte Verbrechen, Das "
Pinocchio
Pirates of the Caribbean I: The Curse of the Black Pearl
Pirates of the Caribbean II: Dead Man's Chest
Pirates of the Caribbean III: At World's End
Pirates of the Caribbean IV: Fremde Gezeiten
Pitch Black
Platoon
"Pledge, The"
Plotzlich Prinzessin
Plotzlich Prinzessin 2
Pocahontas
Polar Express
Poseidon
"Prestige, The"
"Prince & Me, The"
Prinzessin Fantaghiro
"Prophezeiung, Die"
Pulp Fiction
Rambo IV
Ratatouille
"Reader, The "
Red Planet
Reservoir Dogs
Resident Evil
Resident Evil: Apocalypse
Resident Evil: Extinction
Rezept zum Verlieben 
Riddick - The Chronicles of Riddick
Robin Hood
Robin Hood: Prince of Thieves
Robots
ROM - 1. Staffel
Romeo + Juliet
Ronin
S.W.A.T.
Safe House
Sahara
Sandmannchen - Fruhlingstraume
Sandmannchen - Gute Nacht
Sandmannchen - Gute Nacht Geschichten
Sandmannchen - Wintergeschichten
Saving Private Ryan
"Scharlachrote Buchstabe, Der "
Schatten einer Liebe 
"Schatz zum Verlieben, Ein "
"Schatzinsel, Die "
"Schatzplanet, Der"
Schindler's List
Schneewittchen und die sieben Zwerge
"Schone und das Biest, Die"
"Schuh des Manitu, Der"
"Schwanenprinzessin, Die"
Schwerter des Konigs 
"Schwester der Konigin, Die"
"Score, The"
Se7en
Seide 
Selbst ist die Braut 
Sennentuntschi
"Sentinel, The"
Shaft
Shooter
Shrek
Shrek 2
Shutter Island
Sideways
Sieben Leben 
Signs
Silent Hill
Sin City
Sinn & Sinnlichkeit 
Sissi
"Sissi, die junge Kaiserin"
"Sissi, Schicksalsjahre einer Kaiserin"
Sixth Sense
Sky High
Sleepers
Sleeping Dictionary 
Sliding Doors
Slumdog Millionaire
Snatch
Snow Falling on Cedars
Snow White and the Huntsman
So was wie Liebe 
"Social Network, The"
Solange du da bist 
Speed
Speed 2: Cruise Control
Sphere
Spider
Spider-Man
Spider-Man 2
Spider-Man 3
Spiel mir das Lied vom Tod
Spurenwechsel 
Stalingrad
Star Wars I - The Phantom Menace
Star Wars II - Attack of the Clones
Star Wars III - Revenge of the Sith
Star Wars IV - A New Hope
Star Wars V - The Empire Strikes Back
Star Wars VI - Return of the Jedi
Starsky & Hutch
"Statement, The"
Stay
Step up
"Sternwanderer, Der "
Stolz & Vorurteil 
Streben nach Gluck 
Stumme Zeugin 
Super 8
Superman - The New Adventures of ・
Superman - The New Adventures of ・
Susi und Strolch
Sweet Home Alabama
Syriana
"Tag des Falken, Der "
Taking Lives
Tatsachlich・Liebe 
Tears of the Sun
"Terminal, The"
Terminator
Terminator 2: Judgment Day
Terminator 3: Rise of the Machines
"Teufel tragt Prada, Der "
Thelma & Louise
Thin Red Line
Third Wave 
Thirteen Days
Tierisch Wild 
Tigerland
Tim und Struppi
Timeline
Tinker Bell: Secret of the Wings
Tinker Bell: The Great Dairy Rescue
Tintenherz 
Titanic
"Tollkuhne Hexe in ihrem fliegenden Bett, Die"
Tomb Raider 
Traffic
Training Day
Trainspotting
TRaumschiff Surprise - Periode I
Tribute von Panem 
Tricks 
Tristan & Isolde
Tropic Thunder
Troy
Twilight - Biss zum Morgengrauen
Twilight II - Biss zur Mittagsstunde
Twilight III - Biss zum Abendrot
Twilight IV - Biss zum Ende der Nacht
U-571
Ultraviolet
"Unbarmherzigen Schwestern, Die "
"Unbequeme Wahrheit, Eine"
Unbreakable
Under the Tuscan Sun
Underworld I
Underworld II: Evolution
Underworld III: Aufstand der Lykaner
"Unglaublichen, Die "
Unleashed
Untergang der Estonia 
"Untergang, Der"
V for Vendetta
Van Helsing
Vanity Fair
"Verbotene Schlussel, Der"
"Verdingbub, Der"
"Vergessenen, Die "
Verliebt in Berlin
"Vier Federn, Die "
"Village, The"
Vitus
Von Lowen und Lammern 
"Vorahnung, Die "
Wag the Dog
Wallace & Gromit
Wall-E
We Were Soldiers
"Wedding Date, The"
When Trumpets Fade
While You Were Sleeping
White Men Can't Jump
White Oleander
Wie werde ich ihn los - in 10 Tagen?
Wimbledon
Windtalkers
Winnie Puuh - Die kleinen Entdecker
Winnie Puuh - Lustige Jahreszeiten im Hundertmorgenwald
Wintersonnenwende
Wo die Liebe hinfallt ・ 
"Woman in Black, The"
World Trade Center
"Wunder von Bern, Das"
xXx
Yamakasi
